"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 24 10:28:40 GMT 2023","Sat Jun 24 10:28:47 GMT 2023","6930","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"failed","Sat Jun 24 10:20:38 GMT 2023","Sat Jun 24 10:20:59 GMT 2023","20733","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Español language",""
"passed","Sat Jun 24 10:24:11 GMT 2023","Sat Jun 24 10:24:38 GMT 2023","26452","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Trade] in the header of English language",""
"passed","Sat Jun 24 10:25:03 GMT 2023","Sat Jun 24 10:25:28 GMT 2023","24877","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of English language",""
"passed","Sat Jun 24 10:29:17 GMT 2023","Sat Jun 24 10:29:24 GMT 2023","7622","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"failed","Sat Jun 24 10:21:20 GMT 2023","Sat Jun 24 10:21:42 GMT 2023","22177","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Español language",""
"failed","Sat Jun 24 10:22:55 GMT 2023","Sat Jun 24 10:23:20 GMT 2023","24800","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08 | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of Español language",""
"passed","Sat Jun 24 10:28:33 GMT 2023","Sat Jun 24 10:28:40 GMT 2023","7025","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"failed","Sat Jun 24 10:25:28 GMT 2023","Sat Jun 24 10:25:56 GMT 2023","27917","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of English language",""
"failed","Sat Jun 24 10:21:42 GMT 2023","Sat Jun 24 10:22:06 GMT 2023","23329","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Español language",""
"passed","Sat Jun 24 10:28:27 GMT 2023","Sat Jun 24 10:28:33 GMT 2023","6022","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
"passed","Sat Jun 24 10:28:59 GMT 2023","Sat Jun 24 10:29:09 GMT 2023","9358","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"failed","Sat Jun 24 10:22:06 GMT 2023","Sat Jun 24 10:22:30 GMT 2023","23900","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Español language",""
"passed","Sat Jun 24 10:27:04 GMT 2023","Sat Jun 24 10:27:42 GMT 2023","38826","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08 | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of English language",""
"passed","Sat Jun 24 10:24:38 GMT 2023","Sat Jun 24 10:25:03 GMT 2023","24685","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of English language",""
"failed","Sat Jun 24 10:28:47 GMT 2023","Sat Jun 24 10:28:59 GMT 2023","12228","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"failed","Sat Jun 24 10:20:59 GMT 2023","Sat Jun 24 10:21:20 GMT 2023","21397","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Español language",""
"passed","Sat Jun 24 10:27:43 GMT 2023","Sat Jun 24 10:28:16 GMT 2023","33049","","Education > Menu Item [Position Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of English language",""
"failed","Sat Jun 24 10:23:20 GMT 2023","Sat Jun 24 10:23:46 GMT 2023","26214","","Education > Menu Item [Position Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of Español language",""
"failed","Sat Jun 24 10:20:11 GMT 2023","Sat Jun 24 10:20:38 GMT 2023","26292","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Español language",""
"failed","Sat Jun 24 10:22:30 GMT 2023","Sat Jun 24 10:22:55 GMT 2023","24900","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07 | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Español language",""
"passed","Sat Jun 24 10:23:46 GMT 2023","Sat Jun 24 10:24:11 GMT 2023","25399","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"passed","Sat Jun 24 10:29:09 GMT 2023","Sat Jun 24 10:29:17 GMT 2023","8231","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"passed","Sat Jun 24 10:29:24 GMT 2023","Sat Jun 24 10:29:33 GMT 2023","8669","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
"passed","Sat Jun 24 10:25:56 GMT 2023","Sat Jun 24 10:26:28 GMT 2023","31840","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of English language",""
"passed","Sat Jun 24 10:28:20 GMT 2023","Sat Jun 24 10:28:27 GMT 2023","6926","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
