"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 05 20:16:38 GMT 2023","Mon Jun 05 20:16:53 GMT 2023","15067","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header",""
"passed","Mon Jun 05 20:17:03 GMT 2023","Mon Jun 05 20:17:10 GMT 2023","6919","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
"passed","Mon Jun 05 20:17:45 GMT 2023","Mon Jun 05 20:17:52 GMT 2023","7651","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"passed","Mon Jun 05 20:17:16 GMT 2023","Mon Jun 05 20:17:23 GMT 2023","6941","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"passed","Mon Jun 05 20:17:52 GMT 2023","Mon Jun 05 20:17:59 GMT 2023","6638","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"skipped","Mon Jun 05 20:16:53 GMT 2023","Mon Jun 05 20:16:53 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner",""
"passed","Mon Jun 05 20:17:35 GMT 2023","Mon Jun 05 20:17:45 GMT 2023","9410","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"passed","Mon Jun 05 20:17:59 GMT 2023","Mon Jun 05 20:18:07 GMT 2023","8554","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
"failed","Mon Jun 05 20:17:23 GMT 2023","Mon Jun 05 20:17:35 GMT 2023","12013","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"skipped","Mon Jun 05 20:16:53 GMT 2023","Mon Jun 05 20:16:53 GMT 2023","1","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Sign up] in the header",""
"passed","Mon Jun 05 20:16:55 GMT 2023","Mon Jun 05 20:17:03 GMT 2023","7443","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
"skipped","Mon Jun 05 20:16:53 GMT 2023","Mon Jun 05 20:16:53 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner",""
"skipped","Mon Jun 05 20:16:53 GMT 2023","Mon Jun 05 20:16:53 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position Trading] > Test buttons [Trade] on Widget ""Most traded""",""
"passed","Mon Jun 05 20:17:10 GMT 2023","Mon Jun 05 20:17:16 GMT 2023","6430","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
