"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 13:59:58 GMT 2024","Fri Apr 19 14:00:13 GMT 2024","14330","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_101_UnAuth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"failed","Fri Apr 19 14:01:49 GMT 2024","Fri Apr 19 14:02:18 GMT 2024","28673","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_104_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo ] in the block ""Discover trading excellence with Capital.com""",""
"passed","Fri Apr 19 13:59:31 GMT 2024","Fri Apr 19 13:59:40 GMT 2024","8541","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_101_UnReg | Markets > Menu item [Shares] > Click button [Sign up] in the block ""Shares trading""",""
"passed","Fri Apr 19 13:59:40 GMT 2024","Fri Apr 19 13:59:46 GMT 2024","5222","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02.00_102_UnReg | Markets > Menu item [Shares] > Click button [Try Demo]  in the block ""Shares trading""",""
"passed","Fri Apr 19 14:01:10 GMT 2024","Fri Apr 19 14:01:22 GMT 2024","12664","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_103_UnAuth  | Markets > Menu item [Shares] > Click button [Create account ] in the block ""Discover trading excellence with Capital.com""",""
"passed","Fri Apr 19 14:02:18 GMT 2024","Fri Apr 19 14:02:31 GMT 2024","12767","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_101_Auth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"failed","Fri Apr 19 14:03:00 GMT 2024","Fri Apr 19 14:03:30 GMT 2024","30251","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_102_Auth | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
"passed","Fri Apr 19 14:03:30 GMT 2024","Fri Apr 19 14:03:44 GMT 2024","14039","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_103_Auth | Markets > Menu item [Shares] > Click button [Create account ] in the block ""Discover trading excellence with Capital.com""",""
"passed","Fri Apr 19 13:59:46 GMT 2024","Fri Apr 19 13:59:52 GMT 2024","5854","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_103_UnReg | Markets > Menu item [Shares] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""",""
"failed","Fri Apr 19 14:00:42 GMT 2024","Fri Apr 19 14:01:10 GMT 2024","27771","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_102_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
"passed","Fri Apr 19 13:59:52 GMT 2024","Fri Apr 19 13:59:58 GMT 2024","5854","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_104_UnReg | Markets > Menu item [Shares] > Click button [Try Demo ] in the block ""Discover trading excellence with Capital.com""",""
"failed","Fri Apr 19 14:04:14 GMT 2024","Fri Apr 19 14:04:47 GMT 2024","33241","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_104_Auth | Markets > Menu item [Shares] > Click button [Try Demo ] in the block ""Discover trading excellence with Capital.com""",""
