"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 15 18:54:43 GMT 2023","Sat Jul 15 18:55:11 GMT 2023","28135","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08_UnReg | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of Nederlands language",""
"failed","Sat Jul 15 18:45:41 GMT 2023","Sat Jul 15 18:46:27 GMT 2023","45928","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03_Auth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Nederlands language",""
"failed","Sat Jul 15 18:44:58 GMT 2023","Sat Jul 15 18:45:41 GMT 2023","43469","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03_UnAuth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Nederlands language",""
"failed","Sat Jul 15 18:42:12 GMT 2023","Sat Jul 15 18:42:53 GMT 2023","41007","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01_Auth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Nederlands language",""
"failed","Sat Jul 15 18:53:49 GMT 2023","Sat Jul 15 18:54:43 GMT 2023","53780","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07_Auth | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Nederlands language",""
"failed","Sat Jul 15 18:43:54 GMT 2023","Sat Jul 15 18:44:37 GMT 2023","43134","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02_Auth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Nederlands language",""
"failed","Sat Jul 15 18:52:28 GMT 2023","Sat Jul 15 18:52:57 GMT 2023","29646","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07_UnReg | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Nederlands language",""
"failed","Sat Jul 15 18:48:44 GMT 2023","Sat Jul 15 18:49:32 GMT 2023","47700","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05_UnAuth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Nederlands language",""
"failed","Sat Jul 15 18:55:12 GMT 2023","Sat Jul 15 18:56:10 GMT 2023","58910","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08_UnAuth | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of Nederlands language",""
"failed","Sat Jul 15 18:52:58 GMT 2023","Sat Jul 15 18:53:49 GMT 2023","51775","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07_UnAuth | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Nederlands language",""
