"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 19 14:10:47 GMT 2024","Fri Apr 19 14:11:15 GMT 2024","28431","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_102_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
"passed","Fri Apr 19 14:10:02 GMT 2024","Fri Apr 19 14:10:17 GMT 2024","15096","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_101_UnAuth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Fri Apr 19 14:11:15 GMT 2024","Fri Apr 19 14:11:27 GMT 2024","11577","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_103_UnAuth  | Markets > Menu item [Shares] > Click button [Create account ] in the block ""Discover trading excellence with Capital.com""",""
"failed","Fri Apr 19 14:13:03 GMT 2024","Fri Apr 19 14:13:41 GMT 2024","37782","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_102_Auth | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
"passed","Fri Apr 19 14:12:20 GMT 2024","Fri Apr 19 14:12:34 GMT 2024","13494","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_101_Auth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"failed","Fri Apr 19 14:14:46 GMT 2024","Fri Apr 19 14:15:29 GMT 2024","42940","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_104_Auth | Markets > Menu item [Shares] > Click button [Try Demo ] in the block ""Discover trading excellence with Capital.com""",""
"passed","Fri Apr 19 14:13:41 GMT 2024","Fri Apr 19 14:14:06 GMT 2024","24748","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_103_Auth | Markets > Menu item [Shares] > Click button [Create account ] in the block ""Discover trading excellence with Capital.com""",""
"passed","Fri Apr 19 14:09:58 GMT 2024","Fri Apr 19 14:10:02 GMT 2024","4309","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_104_UnReg | Markets > Menu item [Shares] > Click button [Try Demo ] in the block ""Discover trading excellence with Capital.com""",""
"failed","Fri Apr 19 14:11:53 GMT 2024","Fri Apr 19 14:12:20 GMT 2024","27406","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_104_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo ] in the block ""Discover trading excellence with Capital.com""",""
"passed","Fri Apr 19 14:09:47 GMT 2024","Fri Apr 19 14:09:52 GMT 2024","4935","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02.00_102_UnReg | Markets > Menu item [Shares] > Click button [Try Demo]  in the block ""Shares trading""",""
"passed","Fri Apr 19 14:09:39 GMT 2024","Fri Apr 19 14:09:47 GMT 2024","7508","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_101_UnReg | Markets > Menu item [Shares] > Click button [Sign up] in the block ""Shares trading""",""
"passed","Fri Apr 19 14:09:53 GMT 2024","Fri Apr 19 14:09:58 GMT 2024","4854","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_103_UnReg | Markets > Menu item [Shares] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""",""
