"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 07 17:51:57 GMT 2023","Wed Jun 07 17:52:04 GMT 2023","7015","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
"skipped","Wed Jun 07 17:51:54 GMT 2023","Wed Jun 07 17:51:54 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner",""
"broken","Wed Jun 07 17:51:38 GMT 2023","Wed Jun 07 17:51:54 GMT 2023","15815","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header",""
"passed","Wed Jun 07 17:52:26 GMT 2023","Wed Jun 07 17:52:33 GMT 2023","7429","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"passed","Wed Jun 07 17:52:43 GMT 2023","Wed Jun 07 17:52:51 GMT 2023","7801","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"skipped","Wed Jun 07 17:51:54 GMT 2023","Wed Jun 07 17:51:54 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Sign up] in the header",""
"passed","Wed Jun 07 17:52:59 GMT 2023","Wed Jun 07 17:53:09 GMT 2023","10207","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
"passed","Wed Jun 07 17:52:51 GMT 2023","Wed Jun 07 17:52:59 GMT 2023","8174","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"skipped","Wed Jun 07 17:51:54 GMT 2023","Wed Jun 07 17:51:54 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position Trading] > Test buttons [Trade] on Widget ""Most traded""",""
"skipped","Wed Jun 07 17:51:54 GMT 2023","Wed Jun 07 17:51:54 GMT 2023","1","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner",""
"passed","Wed Jun 07 17:52:04 GMT 2023","Wed Jun 07 17:52:11 GMT 2023","7199","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
"passed","Wed Jun 07 17:52:19 GMT 2023","Wed Jun 07 17:52:26 GMT 2023","7073","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"passed","Wed Jun 07 17:52:11 GMT 2023","Wed Jun 07 17:52:19 GMT 2023","7606","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"passed","Wed Jun 07 17:52:33 GMT 2023","Wed Jun 07 17:52:43 GMT 2023","9479","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
