"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 21 19:37:59 GMT 2023","Wed Jun 21 19:38:17 GMT 2023","18293","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Deutsch language",""
"failed","Wed Jun 21 19:38:36 GMT 2023","Wed Jun 21 19:38:55 GMT 2023","19014","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Deutsch language",""
"failed","Wed Jun 21 19:37:15 GMT 2023","Wed Jun 21 19:37:39 GMT 2023","23844","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Deutsch language",""
"passed","Wed Jun 21 19:40:15 GMT 2023","Wed Jun 21 19:40:22 GMT 2023","7342","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"passed","Wed Jun 21 19:40:42 GMT 2023","Wed Jun 21 19:40:53 GMT 2023","10594","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"failed","Wed Jun 21 19:38:55 GMT 2023","Wed Jun 21 19:39:16 GMT 2023","21027","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Deutsch language",""
"passed","Wed Jun 21 19:41:12 GMT 2023","Wed Jun 21 19:41:22 GMT 2023","10009","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
"passed","Wed Jun 21 19:40:08 GMT 2023","Wed Jun 21 19:40:15 GMT 2023","6487","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
"passed","Wed Jun 21 19:40:22 GMT 2023","Wed Jun 21 19:40:29 GMT 2023","7315","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"failed","Wed Jun 21 19:39:37 GMT 2023","Wed Jun 21 19:39:56 GMT 2023","19635","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08 | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of Deutsch language",""
"failed","Wed Jun 21 19:37:39 GMT 2023","Wed Jun 21 19:37:59 GMT 2023","19291","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Deutsch language",""
"failed","Wed Jun 21 19:39:16 GMT 2023","Wed Jun 21 19:39:37 GMT 2023","20555","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07 | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Deutsch language",""
"passed","Wed Jun 21 19:41:02 GMT 2023","Wed Jun 21 19:41:12 GMT 2023","9453","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"failed","Wed Jun 21 19:38:17 GMT 2023","Wed Jun 21 19:38:36 GMT 2023","18958","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Deutsch language",""
"passed","Wed Jun 21 19:40:00 GMT 2023","Wed Jun 21 19:40:08 GMT 2023","8065","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
"passed","Wed Jun 21 19:40:53 GMT 2023","Wed Jun 21 19:41:02 GMT 2023","9656","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"failed","Wed Jun 21 19:40:29 GMT 2023","Wed Jun 21 19:40:42 GMT 2023","12565","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
