"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 02 20:22:21 GMT 2023","Sun Jul 02 20:23:10 GMT 2023","49303","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_UnAuth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of English language",""
"passed","Sun Jul 02 20:33:53 GMT 2023","Sun Jul 02 20:33:59 GMT 2023","6647","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"passed","Sun Jul 02 20:33:14 GMT 2023","Sun Jul 02 20:33:19 GMT 2023","5218","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
"failed","Sun Jul 02 20:26:25 GMT 2023","Sun Jul 02 20:27:29 GMT 2023","64179","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_UnAuth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Polski language",""
"failed","Sun Jul 02 20:20:33 GMT 2023","Sun Jul 02 20:21:16 GMT 2023","43642","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnAuth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of English language",""
"passed","Sun Jul 02 20:33:19 GMT 2023","Sun Jul 02 20:33:26 GMT 2023","7384","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"failed","Sun Jul 02 20:23:10 GMT 2023","Sun Jul 02 20:23:57 GMT 2023","47248","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_Auth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of English language",""
"failed","Sun Jul 02 20:21:17 GMT 2023","Sun Jul 02 20:22:01 GMT 2023","44264","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_Auth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of English language",""
"failed","Sun Jul 02 20:27:29 GMT 2023","Sun Jul 02 20:28:22 GMT 2023","52656","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_Auth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Polski language",""
"failed","Sun Jul 02 20:31:09 GMT 2023","Sun Jul 02 20:32:07 GMT 2023","57678","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_UnAuth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Polski language",""
"passed","Sun Jul 02 20:17:40 GMT 2023","Sun Jul 02 20:18:21 GMT 2023","41213","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_Auth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"passed","Sun Jul 02 20:33:46 GMT 2023","Sun Jul 02 20:33:53 GMT 2023","6517","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"failed","Sun Jul 02 20:28:51 GMT 2023","Sun Jul 02 20:29:45 GMT 2023","53218","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnAuth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Polski language",""
"failed","Sun Jul 02 20:28:22 GMT 2023","Sun Jul 02 20:28:51 GMT 2023","29159","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnReg | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Polski language",""
