"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 24 10:12:30 GMT 2023","Sat Jun 24 10:12:36 GMT 2023","6068","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"passed","Sat Jun 24 10:11:53 GMT 2023","Sat Jun 24 10:11:58 GMT 2023","5015","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
"passed","Sat Jun 24 10:12:08 GMT 2023","Sat Jun 24 10:12:13 GMT 2023","4958","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"failed","Sat Jun 24 10:06:50 GMT 2023","Sat Jun 24 10:07:09 GMT 2023","19011","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Español language",""
"failed","Sat Jun 24 10:08:11 GMT 2023","Sat Jun 24 10:08:32 GMT 2023","21808","","Education > Menu Item [Position Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of Español language",""
"failed","Sat Jun 24 10:05:33 GMT 2023","Sat Jun 24 10:05:54 GMT 2023","21913","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Español language",""
"passed","Sat Jun 24 10:12:24 GMT 2023","Sat Jun 24 10:12:30 GMT 2023","6357","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"failed","Sat Jun 24 10:12:13 GMT 2023","Sat Jun 24 10:12:24 GMT 2023","10767","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"failed","Sat Jun 24 10:09:47 GMT 2023","Sat Jun 24 10:10:09 GMT 2023","22742","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of English language",""
"passed","Sat Jun 24 10:10:59 GMT 2023","Sat Jun 24 10:11:26 GMT 2023","26831","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08 | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of English language",""
