"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 06 15:30:32 GMT 2024","Sat Apr 06 15:30:46 GMT 2024","14230","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/AT_01.02!00_101_UnReg | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Sat Apr 06 15:30:47 GMT 2024","Sat Apr 06 15:31:34 GMT 2024","46744","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/AT_01.02!00_101_UnAuth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Sat Apr 06 15:31:34 GMT 2024","Sat Apr 06 15:32:04 GMT 2024","29493","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/AT_01.02!00_101_Auth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
