"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 15 19:48:13 GMT 2023","Sat Jul 15 19:48:33 GMT 2023","19745","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08_UnReg | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of Nederlands language",""
"failed","Sat Jul 15 19:38:15 GMT 2023","Sat Jul 15 19:38:55 GMT 2023","40095","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02_UnAuth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Nederlands language",""
"failed","Sat Jul 15 19:39:53 GMT 2023","Sat Jul 15 19:40:33 GMT 2023","39836","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03_UnAuth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Nederlands language",""
"failed","Sat Jul 15 19:48:33 GMT 2023","Sat Jul 15 19:49:19 GMT 2023","45312","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08_UnAuth | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of Nederlands language",""
"failed","Sat Jul 15 19:36:16 GMT 2023","Sat Jul 15 19:36:35 GMT 2023","19719","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01_UnReg | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Nederlands language",""
"failed","Sat Jul 15 19:42:12 GMT 2023","Sat Jul 15 19:42:54 GMT 2023","41768","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04_Auth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Nederlands language",""
"failed","Sat Jul 15 19:47:29 GMT 2023","Sat Jul 15 19:48:13 GMT 2023","44330","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07_Auth | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Nederlands language",""
"failed","Sat Jul 15 19:46:26 GMT 2023","Sat Jul 15 19:46:46 GMT 2023","20021","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07_UnReg | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Nederlands language",""
"failed","Sat Jul 15 19:45:43 GMT 2023","Sat Jul 15 19:46:26 GMT 2023","42868","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06_Auth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Nederlands language",""
"failed","Sat Jul 15 19:40:33 GMT 2023","Sat Jul 15 19:41:13 GMT 2023","40007","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03_Auth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Nederlands language",""
"failed","Sat Jul 15 19:41:31 GMT 2023","Sat Jul 15 19:42:12 GMT 2023","41034","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04_UnAuth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Nederlands language",""
"failed","Sat Jul 15 19:41:13 GMT 2023","Sat Jul 15 19:41:31 GMT 2023","17480","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04_UnReg | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Nederlands language",""
"failed","Sat Jul 15 19:43:12 GMT 2023","Sat Jul 15 19:43:55 GMT 2023","42546","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05_UnAuth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Nederlands language",""
"failed","Sat Jul 15 19:36:35 GMT 2023","Sat Jul 15 19:37:18 GMT 2023","43049","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01_UnAuth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Nederlands language",""
"failed","Sat Jul 15 19:44:38 GMT 2023","Sat Jul 15 19:44:57 GMT 2023","18804","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06_UnReg | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Nederlands language",""
"failed","Sat Jul 15 19:42:54 GMT 2023","Sat Jul 15 19:43:12 GMT 2023","18491","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05_UnReg | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Nederlands language",""
"failed","Sat Jul 15 19:50:04 GMT 2023","Sat Jul 15 19:50:24 GMT 2023","20211","","Education > Menu Item [Position Trading]","","","","TC_11.03.05_09_UnReg | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of Nederlands language",""
"failed","Sat Jul 15 19:46:46 GMT 2023","Sat Jul 15 19:47:29 GMT 2023","43318","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07_UnAuth | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Nederlands language",""
"failed","Sat Jul 15 19:43:55 GMT 2023","Sat Jul 15 19:44:38 GMT 2023","42829","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05_Auth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Nederlands language",""
"failed","Sat Jul 15 19:39:35 GMT 2023","Sat Jul 15 19:39:53 GMT 2023","17849","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03_UnReg | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Nederlands language",""
"failed","Sat Jul 15 19:37:18 GMT 2023","Sat Jul 15 19:37:59 GMT 2023","40440","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01_Auth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Nederlands language",""
"failed","Sat Jul 15 19:50:24 GMT 2023","Sat Jul 15 19:51:12 GMT 2023","47692","","Education > Menu Item [Position Trading]","","","","TC_11.03.05_09_UnAuth | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of Nederlands language",""
"failed","Sat Jul 15 19:37:59 GMT 2023","Sat Jul 15 19:38:15 GMT 2023","16073","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02_UnReg | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Nederlands language",""
"failed","Sat Jul 15 19:38:55 GMT 2023","Sat Jul 15 19:39:35 GMT 2023","40312","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02_Auth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Nederlands language",""
"failed","Sat Jul 15 19:51:12 GMT 2023","Sat Jul 15 19:51:59 GMT 2023","46990","","Education > Menu Item [Position Trading]","","","","TC_11.03.05_09_Auth | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of Nederlands language",""
"failed","Sat Jul 15 19:44:57 GMT 2023","Sat Jul 15 19:45:43 GMT 2023","46125","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06_UnAuth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Nederlands language",""
"failed","Sat Jul 15 19:49:19 GMT 2023","Sat Jul 15 19:50:04 GMT 2023","45063","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08_Auth | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of Nederlands language",""
