"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 18:10:21 GMT 2023","Mon Jun 26 18:10:50 GMT 2023","28889","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08 | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of English language",""
"passed","Mon Jun 26 18:11:53 GMT 2023","Mon Jun 26 18:12:00 GMT 2023","6862","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"failed","Mon Jun 26 18:04:26 GMT 2023","Mon Jun 26 18:04:50 GMT 2023","23454","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Español language",""
"passed","Mon Jun 26 18:08:41 GMT 2023","Mon Jun 26 18:09:02 GMT 2023","21592","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of English language",""
"passed","Mon Jun 26 18:11:20 GMT 2023","Mon Jun 26 18:11:25 GMT 2023","4951","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
"passed","Mon Jun 26 18:08:18 GMT 2023","Mon Jun 26 18:08:41 GMT 2023","22711","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of English language",""
"passed","Mon Jun 26 18:09:27 GMT 2023","Mon Jun 26 18:09:52 GMT 2023","25016","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of English language",""
"failed","Mon Jun 26 18:05:09 GMT 2023","Mon Jun 26 18:05:28 GMT 2023","19106","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Español language",""
"failed","Mon Jun 26 18:09:03 GMT 2023","Mon Jun 26 18:09:27 GMT 2023","24435","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of English language",""
"failed","Mon Jun 26 18:09:52 GMT 2023","Mon Jun 26 18:10:21 GMT 2023","28237","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07 | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of English language",""
"passed","Mon Jun 26 18:11:30 GMT 2023","Mon Jun 26 18:11:35 GMT 2023","5063","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"passed","Mon Jun 26 18:12:00 GMT 2023","Mon Jun 26 18:12:06 GMT 2023","6107","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"failed","Mon Jun 26 18:06:29 GMT 2023","Mon Jun 26 18:06:50 GMT 2023","20782","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07 | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Español language",""
"failed","Mon Jun 26 18:05:48 GMT 2023","Mon Jun 26 18:06:08 GMT 2023","19918","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Español language",""
"failed","Mon Jun 26 18:04:50 GMT 2023","Mon Jun 26 18:05:09 GMT 2023","19204","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Español language",""
"failed","Mon Jun 26 18:11:41 GMT 2023","Mon Jun 26 18:11:53 GMT 2023","11269","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"failed","Mon Jun 26 18:06:50 GMT 2023","Mon Jun 26 18:07:11 GMT 2023","21355","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08 | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of Español language",""
"passed","Mon Jun 26 18:12:06 GMT 2023","Mon Jun 26 18:12:11 GMT 2023","5703","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"passed","Mon Jun 26 18:10:50 GMT 2023","Mon Jun 26 18:11:16 GMT 2023","26813","","Education > Menu Item [Position Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of English language",""
"passed","Mon Jun 26 18:07:32 GMT 2023","Mon Jun 26 18:07:51 GMT 2023","18919","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"failed","Mon Jun 26 18:06:08 GMT 2023","Mon Jun 26 18:06:29 GMT 2023","20869","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Español language",""
"passed","Mon Jun 26 18:12:12 GMT 2023","Mon Jun 26 18:12:18 GMT 2023","6538","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
