"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 12 13:42:36 GMT 2023","Wed Jul 12 13:43:42 GMT 2023","65095","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.05_09_UnAuth | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of English language",""
"passed","Wed Jul 12 13:24:04 GMT 2023","Wed Jul 12 13:24:27 GMT 2023","22702","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_UnReg | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.05_09_UnReg | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:46:39 GMT 2023","Wed Jul 12 13:47:50 GMT 2023","70645","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_Auth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of العَرَبِيَّة language",""
"passed","Wed Jul 12 13:41:45 GMT 2023","Wed Jul 12 13:42:36 GMT 2023","51130","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.05_09_UnReg | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.05_09_UnAuth | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:38:26 GMT 2023","Wed Jul 12 13:39:30 GMT 2023","63518","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_07_Auth | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_08_UnReg | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:43:42 GMT 2023","Wed Jul 12 13:44:49 GMT 2023","67010","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.05_09_Auth | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of English language",""
"failed","Wed Jul 12 13:54:07 GMT 2023","Wed Jul 12 13:55:31 GMT 2023","83997","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_Auth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of العَرَبِيَّة language",""
