"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 17 14:29:18 GMT 2023","Sat Jun 17 14:29:25 GMT 2023","6548","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"passed","Sat Jun 17 14:28:38 GMT 2023","Sat Jun 17 14:28:44 GMT 2023","6120","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"passed","Sat Jun 17 14:29:10 GMT 2023","Sat Jun 17 14:29:18 GMT 2023","7783","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"passed","Sat Jun 17 14:29:25 GMT 2023","Sat Jun 17 14:29:32 GMT 2023","7664","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
"failed","Sat Jun 17 14:28:50 GMT 2023","Sat Jun 17 14:29:03 GMT 2023","12677","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"passed","Sat Jun 17 14:28:00 GMT 2023","Sat Jun 17 14:28:23 GMT 2023","23040","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"passed","Sat Jun 17 14:28:26 GMT 2023","Sat Jun 17 14:28:31 GMT 2023","5864","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
"passed","Sat Jun 17 14:28:44 GMT 2023","Sat Jun 17 14:28:50 GMT 2023","6331","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"passed","Sat Jun 17 14:29:03 GMT 2023","Sat Jun 17 14:29:10 GMT 2023","7474","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"passed","Sat Jun 17 14:28:31 GMT 2023","Sat Jun 17 14:28:37 GMT 2023","6033","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
