"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner Deutsch language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07 | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" العَرَبِيَّة language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","1","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner Hrvatski language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today"" Deutsch language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" English language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner Français language",""
"failed","Tue Jun 20 20:21:29 GMT 2023","Tue Jun 20 20:21:49 GMT 2023","20530","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Lietuvių language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" ελληνικά language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner Svenska language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner Latviešu language",""
"broken","Tue Jun 20 20:41:23 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","16018","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Trade] in the header Svenska language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner English language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner 简体中文 language",""
"failed","Tue Jun 20 20:26:06 GMT 2023","Tue Jun 20 20:26:32 GMT 2023","25987","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of ไทย language",""
"failed","Tue Jun 20 20:28:20 GMT 2023","Tue Jun 20 20:28:50 GMT 2023","29547","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Trade] in the header Bahasa Indonesia language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Trade] in the header 简体中文 language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","6","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07 | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" Tiếng Việt language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner العَرَبِيَّة language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner Português language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07 | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" Română language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" Română language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today"" Hrvatski language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner Magyar language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07 | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" Русский language",""
"failed","Tue Jun 20 20:17:17 GMT 2023","Tue Jun 20 20:17:36 GMT 2023","19188","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of العَرَبِيَّة language",""
"passed","Tue Jun 20 20:16:58 GMT 2023","Tue Jun 20 20:17:17 GMT 2023","18062","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","2","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner Español language",""
"skipped","Tue Jun 20 20:41:39 GMT 2023","Tue Jun 20 20:41:39 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today"" Slovenščina language",""
