"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 21 19:37:08 GMT 2023","Wed Jun 21 19:37:27 GMT 2023","19131","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Deutsch language",""
"failed","Wed Jun 21 19:37:27 GMT 2023","Wed Jun 21 19:37:44 GMT 2023","17678","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Deutsch language",""
"passed","Wed Jun 21 19:40:27 GMT 2023","Wed Jun 21 19:40:36 GMT 2023","9756","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"passed","Wed Jun 21 19:39:37 GMT 2023","Wed Jun 21 19:39:44 GMT 2023","6956","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"failed","Wed Jun 21 19:36:45 GMT 2023","Wed Jun 21 19:37:07 GMT 2023","22900","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Deutsch language",""
"passed","Wed Jun 21 19:39:24 GMT 2023","Wed Jun 21 19:39:31 GMT 2023","7038","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
"failed","Wed Jun 21 19:37:44 GMT 2023","Wed Jun 21 19:38:03 GMT 2023","18088","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Deutsch language",""
"passed","Wed Jun 21 19:39:31 GMT 2023","Wed Jun 21 19:39:37 GMT 2023","6010","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
"passed","Wed Jun 21 19:40:05 GMT 2023","Wed Jun 21 19:40:16 GMT 2023","10693","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"failed","Wed Jun 21 19:38:03 GMT 2023","Wed Jun 21 19:38:21 GMT 2023","18833","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Deutsch language",""
"failed","Wed Jun 21 19:38:22 GMT 2023","Wed Jun 21 19:38:41 GMT 2023","19832","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_06 | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Deutsch language",""
"failed","Wed Jun 21 19:39:52 GMT 2023","Wed Jun 21 19:40:05 GMT 2023","13399","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"passed","Wed Jun 21 19:40:16 GMT 2023","Wed Jun 21 19:40:27 GMT 2023","10461","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"failed","Wed Jun 21 19:38:41 GMT 2023","Wed Jun 21 19:39:01 GMT 2023","19609","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_07 | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of Deutsch language",""
"passed","Wed Jun 21 19:39:44 GMT 2023","Wed Jun 21 19:39:52 GMT 2023","7638","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"failed","Wed Jun 21 19:39:01 GMT 2023","Wed Jun 21 19:39:21 GMT 2023","19595","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_08 | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of Deutsch language",""
"passed","Wed Jun 21 19:40:36 GMT 2023","Wed Jun 21 19:40:47 GMT 2023","10085","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
