"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 06 19:27:50 GMT 2023","Thu Jul 06 19:28:35 GMT 2023","45273","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_UnAuth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of English language",""
"passed","Thu Jul 06 19:22:23 GMT 2023","Thu Jul 06 19:22:44 GMT 2023","20991","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_UnReg | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"failed","Thu Jul 06 19:31:49 GMT 2023","Thu Jul 06 19:32:38 GMT 2023","48969","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_UnAuth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of English language",""
"failed","Thu Jul 06 19:23:25 GMT 2023","Thu Jul 06 19:24:08 GMT 2023","42204","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_Auth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"failed","Thu Jul 06 19:34:46 GMT 2023","Thu Jul 06 19:35:38 GMT 2023","51817","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_Auth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Deutsch language",""
"failed","Thu Jul 06 19:29:46 GMT 2023","Thu Jul 06 19:30:33 GMT 2023","47349","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_UnAuth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of English language",""
"failed","Thu Jul 06 19:42:06 GMT 2023","Thu Jul 06 19:43:07 GMT 2023","61739","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_Auth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Deutsch language",""
"passed","Thu Jul 06 19:31:21 GMT 2023","Thu Jul 06 19:31:49 GMT 2023","28277","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_UnReg | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of English language",""
"failed","Thu Jul 06 19:26:47 GMT 2023","Thu Jul 06 19:27:32 GMT 2023","44387","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_Auth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of English language",""
"failed","Thu Jul 06 19:43:08 GMT 2023","Thu Jul 06 19:43:43 GMT 2023","35347","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_UnReg | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Deutsch language",""
"failed","Thu Jul 06 19:49:07 GMT 2023","Thu Jul 06 19:49:18 GMT 2023","10820","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"passed","Thu Jul 06 19:49:24 GMT 2023","Thu Jul 06 19:49:31 GMT 2023","6293","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"failed","Thu Jul 06 19:45:50 GMT 2023","Thu Jul 06 19:46:28 GMT 2023","37124","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_UnReg | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Deutsch language",""
"failed","Thu Jul 06 19:33:54 GMT 2023","Thu Jul 06 19:34:46 GMT 2023","52191","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_UnAuth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Deutsch language",""
"failed","Thu Jul 06 19:38:24 GMT 2023","Thu Jul 06 19:39:20 GMT 2023","56616","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnAuth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Deutsch language",""
"failed","Thu Jul 06 19:40:19 GMT 2023","Thu Jul 06 19:40:52 GMT 2023","32113","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_UnReg | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Deutsch language",""
"passed","Thu Jul 06 19:49:18 GMT 2023","Thu Jul 06 19:49:24 GMT 2023","6587","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"failed","Thu Jul 06 19:25:05 GMT 2023","Thu Jul 06 19:25:47 GMT 2023","42350","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_Auth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of English language",""
"passed","Thu Jul 06 19:48:52 GMT 2023","Thu Jul 06 19:48:56 GMT 2023","4077","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
"failed","Thu Jul 06 19:37:55 GMT 2023","Thu Jul 06 19:38:24 GMT 2023","28618","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnReg | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Deutsch language",""
"passed","Thu Jul 06 19:25:47 GMT 2023","Thu Jul 06 19:26:04 GMT 2023","16890","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnReg | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of English language",""
"failed","Thu Jul 06 19:28:36 GMT 2023","Thu Jul 06 19:29:21 GMT 2023","45344","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_Auth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of English language",""
"failed","Thu Jul 06 19:39:21 GMT 2023","Thu Jul 06 19:40:19 GMT 2023","58821","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_Auth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of Deutsch language",""
"failed","Thu Jul 06 19:40:52 GMT 2023","Thu Jul 06 19:42:06 GMT 2023","73936","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_UnAuth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of Deutsch language",""
"failed","Thu Jul 06 19:36:06 GMT 2023","Thu Jul 06 19:37:00 GMT 2023","54387","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_UnAuth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Deutsch language",""
"passed","Thu Jul 06 19:49:01 GMT 2023","Thu Jul 06 19:49:07 GMT 2023","5244","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"failed","Thu Jul 06 19:29:21 GMT 2023","Thu Jul 06 19:29:45 GMT 2023","24560","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_UnReg | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of English language",""
"passed","Thu Jul 06 19:48:44 GMT 2023","Thu Jul 06 19:48:52 GMT 2023","8013","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
"failed","Thu Jul 06 19:35:38 GMT 2023","Thu Jul 06 19:36:05 GMT 2023","27621","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_UnReg | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Deutsch language",""
"failed","Thu Jul 06 19:47:33 GMT 2023","Thu Jul 06 19:48:41 GMT 2023","67287","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_Auth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Deutsch language",""
"passed","Thu Jul 06 19:27:32 GMT 2023","Thu Jul 06 19:27:50 GMT 2023","18506","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_UnReg | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of English language",""
"failed","Thu Jul 06 19:22:44 GMT 2023","Thu Jul 06 19:23:25 GMT 2023","40894","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_UnAuth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"failed","Thu Jul 06 19:43:43 GMT 2023","Thu Jul 06 19:44:48 GMT 2023","64680","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_UnAuth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Deutsch language",""
"passed","Thu Jul 06 19:49:31 GMT 2023","Thu Jul 06 19:49:36 GMT 2023","5541","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"failed","Thu Jul 06 19:33:28 GMT 2023","Thu Jul 06 19:33:54 GMT 2023","25268","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_UnReg | Education > Menu Item [Position Trading] > Test button [Log in] in the header of Deutsch language",""
"passed","Thu Jul 06 19:49:36 GMT 2023","Thu Jul 06 19:49:43 GMT 2023","6435","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
"passed","Thu Jul 06 19:48:56 GMT 2023","Thu Jul 06 19:49:01 GMT 2023","5478","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"failed","Thu Jul 06 19:26:04 GMT 2023","Thu Jul 06 19:26:47 GMT 2023","43126","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnAuth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of English language",""
"failed","Thu Jul 06 19:46:28 GMT 2023","Thu Jul 06 19:47:33 GMT 2023","65743","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_UnAuth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of Deutsch language",""
"failed","Thu Jul 06 19:32:38 GMT 2023","Thu Jul 06 19:33:28 GMT 2023","49905","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_Auth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of English language",""
"failed","Thu Jul 06 19:37:00 GMT 2023","Thu Jul 06 19:37:55 GMT 2023","55121","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_Auth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of Deutsch language",""
"failed","Thu Jul 06 19:30:33 GMT 2023","Thu Jul 06 19:31:21 GMT 2023","47958","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_Auth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of English language",""
"failed","Thu Jul 06 19:24:23 GMT 2023","Thu Jul 06 19:25:05 GMT 2023","41974","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_UnAuth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of English language",""
"passed","Thu Jul 06 19:24:08 GMT 2023","Thu Jul 06 19:24:23 GMT 2023","14977","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_UnReg | Education > Menu Item [Position Trading] > Test button [Trade] in the header of English language",""
"failed","Thu Jul 06 19:44:48 GMT 2023","Thu Jul 06 19:45:50 GMT 2023","62571","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_Auth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of Deutsch language",""
