"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 20:28:37 GMT 2023","Mon Jun 05 20:28:45 GMT 2023","7100","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"skipped","Mon Jun 05 20:27:40 GMT 2023","Mon Jun 05 20:27:40 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_05 | Educations > Menu item [Position Trading] > Test buttons [Trade] on Widget ""Most traded""",""
"passed","Mon Jun 05 20:28:45 GMT 2023","Mon Jun 05 20:28:53 GMT 2023","8836","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
"passed","Mon Jun 05 20:27:57 GMT 2023","Mon Jun 05 20:28:04 GMT 2023","7655","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"skipped","Mon Jun 05 20:27:40 GMT 2023","Mon Jun 05 20:27:40 GMT 2023","1","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner",""
"passed","Mon Jun 05 20:28:30 GMT 2023","Mon Jun 05 20:28:37 GMT 2023","7438","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"passed","Mon Jun 05 20:28:04 GMT 2023","Mon Jun 05 20:28:11 GMT 2023","6892","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"passed","Mon Jun 05 20:28:20 GMT 2023","Mon Jun 05 20:28:30 GMT 2023","9678","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
"broken","Mon Jun 05 20:27:23 GMT 2023","Mon Jun 05 20:27:40 GMT 2023","17081","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header",""
"passed","Mon Jun 05 20:27:50 GMT 2023","Mon Jun 05 20:27:57 GMT 2023","7030","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
"passed","Mon Jun 05 20:28:11 GMT 2023","Mon Jun 05 20:28:20 GMT 2023","8883","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"skipped","Mon Jun 05 20:27:40 GMT 2023","Mon Jun 05 20:27:40 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Sign up] in the header",""
"skipped","Mon Jun 05 20:27:40 GMT 2023","Mon Jun 05 20:27:40 GMT 2023","0","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner",""
"passed","Mon Jun 05 20:27:43 GMT 2023","Mon Jun 05 20:27:50 GMT 2023","6786","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
